0.3209,-0.6859,-0.6524,-0.8499,-0.9946,-0.0990,0.1876,-0.4175,-0.5370,0.4139,0.4060,-0.0919,-0.2201
0.3748,0.8478,0.5757,0.2501,0.3224,0.8673,-0.1497,0.0891,0.2953,0.8168,0.6533,-0.8572,0.3177
-0.6682,-0.3848,0.4979,0.1384,-0.4228,-0.7513,0.3774,0.3995,0.8854,0.0009,-0.0124,-0.8391,0.2571
-0.9203,-0.1359,-0.3554,-0.4993,-0.8173,0.9238,0.6719,0.1504,0.9016,0.9991,0.3446,-0.4610,0.1251
-0.9195,0.5125,-0.0590,0.3030,0.8321,-0.6370,0.1707,0.2696,-0.0165,-0.8175,-0.3041,-0.3334,-0.4713
0.3403,0.7155,-0.3404,0.3873,-0.4236,0.8904,0.6271,0.1002,-0.0903,-0.3710,-0.3535,0.9404,0.2434
-0.1916,0.0292,0.9762,0.3153,0.0852,-0.1735,-0.6248,-0.2764,0.5129,0.2508,0.5200,-0.5929,-0.0056
0.0984,0.8553,-0.1238,0.3965,-0.7571,0.9463,0.2177,-0.5214,-0.6832,0.1017,0.1045,-0.8136,0.0842
0.9845,0.8259,-0.0771,-0.7651,0.6643,-0.0032,0.4332,0.0177,-0.4532,0.6694,0.9605,-0.5125,0.8131
0.1025,-0.2328,0.8437,0.0165,0.7587,0.7281,-0.4475,0.5800,-0.1701,0.8685,0.0155,0.6411,-0.0239
-0.4343,-0.4029,0.1739,0.9978,-0.0207,-0.7028,0.0772,-0.3098,0.1038,0.0869,-0.0893,-0.3564,0.1750
-0.6227,0.3950,0.1436,-0.5329,0.5511,-0.9127,0.4894,0.4105,0.6228,-0.2278,0.3274,0.6415,-0.2460
0.9616,-0.0093,-0.9260,0.0046,0.1804,0.7394,0.7484,-0.1194,0.0519,-0.0861,0.4449,-0.1800,-0.0090
0.3096,-0.6913,-0.0610,0.9384,-0.3229,0.3854,0.2997,0.7035,0.7047,0.7187,-0.2400,-0.3667,-0.2140
0.4374,0.5188,0.7448,-0.9282,-0.8632,0.2623,0.8419,0.9949,0.4935,-0.1321,-0.8031,0.2675,0.2269
0.7452,-0.1126,0.3880,0.8068,-0.9080,0.5923,-0.4133,-0.2503,-0.7089,0.0623,0.1319,0.5850,-0.0839
-0.6600,-0.8421,0.7417,0.2394,-0.5183,0.8257,-0.7138,-0.0777,-0.4920,-0.4893,-0.9812,0.6093,0.5558
0.8024,0.3552,-0.6840,-0.1165,-0.3089,0.1751,0.2779,-0.1514,-0.4998,0.6906,-0.6016,-0.2306,0.2850
-0.0336,-0.5256,0.1438,0.1496,0.9854,-0.4095,0.9559,0.3165,-0.4510,0.1319,0.3716,0.4893,0.0177
-0.9019,0.2128,-0.0065,0.8083,-0.4276,0.5977,0.2141,-0.2954,0.2732,0.2418,0.3555,0.4419,-0.1919
0.3184,0.6767,0.2565,0.8068,0.2927,-0.3821,-0.1184,0.1591,0.4647,-0.8197,-0.4098,0.4950,0.2154
-0.6487,-0.7357,0.0788,0.9430,0.0617,0.8270,0.6609,-0.4861,0.6494,-0.0363,0.6130,0.4931,0.4773
-0.3226,-0.7697,0.9258,-0.7185,0.9330,0.7203,0.4484,0.9599,0.9345,0.6092,-0.2684,0.5814,0.2483
-0.9722,0.0731,-0.0904,0.3457,0.3447,0.1691,0.6448,0.8806,-0.7833,-0.5324,-0.9500,0.7685,-0.0711
0.1228,0.8305,-0.5573,-0.8736,0.6477,0.8188,-0.3956,-0.1834,-0.7204,0.8925,-0.3913,-0.0148,0.1020
-0.8056,0.7745,-0.7287,-0.0927,0.3410,0.4863,0.8919,-0.1617,0.4845,-0.6910,-0.1702,-0.8020,-0.6240
-0.0213,-0.1838,0.9030,-0.9346,-0.2589,-0.1132,0.9011,0.7109,-0.8013,0.3714,0.0889,0.9557,0.0039
-0.2827,-0.2037,-0.6204,-0.7557,0.6961,-0.0906,0.3255,0.2834,0.1943,-0.9573,0.5736,-0.5129,0.0576
-0.7482,0.1292,-0.8628,0.5303,-0.5857,-0.5681,0.7394,-0.3429,-0.7049,0.8011,-0.9943,0.7168,-0.0966
-0.7106,-0.7400,-0.4987,-0.6510,0.3221,-0.9484,-0.9703,0.5800,-0.5241,-0.3525,-0.6515,-0.8952,0.5259
0.4834,0.0522,0.4913,-0.0475,0.5560,0.0265,-0.7819,0.0077,0.8908,-0.9133,0.5665,0.7340,0.0252
0.0429,-0.0839,0.9281,-0.8783,-0.0420,-0.1968,0.3722,-0.0195,0.8194,-0.8530,-0.8384,0.2166,-0.0036
-0.8686,-0.4500,0.2662,0.0967,-0.3496,0.9893,0.0611,-0.0926,0.2109,-0.8016,0.4036,0.7056,0.3909
0.3018,0.5379,0.4417,-0.5700,-0.0969,-0.5430,-0.3221,-0.0930,-0.1680,-0.8098,-0.1465,0.3302,0.1624
-0.2514,-0.6947,0.8460,-0.8657,0.6635,-0.8135,-0.8069,0.4776,0.6235,0.1127,0.1729,0.1232,0.1747
-0.3407,-0.7555,-0.2928,0.3307,0.5006,0.7362,0.4421,0.9368,0.2008,-0.2967,0.1558,-0.5745,0.2574
0.3135,-0.5515,-0.7836,0.6907,-0.2649,0.5252,0.1482,0.6144,0.6903,0.9491,0.6369,0.2271,-0.1729
0.2854,-0.9475,0.8582,0.6589,-0.4651,-0.6392,0.4054,-0.3820,-0.3204,-0.9878,0.7397,0.1326,-0.2704
-0.1984,-0.7163,0.2663,-0.9387,0.4922,-0.5697,-0.1603,-0.3182,-0.2599,0.4432,0.5537,0.1352,0.1421
-0.8301,-0.8948,-0.6852,0.2357,0.3479,-0.4558,0.3239,-0.0287,-0.1159,-0.4537,0.5099,-0.7724,0.7427
