0.0706,0.1077,0.0866,0.0000
0.0958,0.9171,0.9028,0.0000
0.9097,0.9087,0.8852,1.0000
0.9117,0.9419,0.1172,0.0000
0.8618,0.8617,0.9193,1.0000
0.8918,0.1075,0.8686,0.0000
0.1055,0.8789,0.0815,1.0000
0.9119,0.9452,0.8637,1.0000
0.9464,0.8909,0.8916,1.0000
0.8989,0.1065,0.0792,1.0000
0.8725,0.8668,0.9066,1.0000
0.9050,0.1073,0.9275,0.0000
0.9042,0.1260,0.9046,0.0000
0.8602,0.0798,0.0950,1.0000
0.9362,0.0939,0.1276,1.0000
0.0710,0.9361,0.8666,0.0000
0.1285,0.1305,0.9032,1.0000
0.0824,0.8789,0.9452,0.0000
0.0636,0.9419,0.9367,0.0000
0.1201,0.0750,0.9328,1.0000
0.8989,0.9128,0.8952,1.0000
0.0903,0.9195,0.8955,0.0000
0.8827,0.1369,0.1231,1.0000
0.9135,0.9350,0.8718,1.0000
0.9325,0.8769,0.8838,1.0000
0.1066,0.9288,0.0546,1.0000
0.8516,0.0941,0.1492,1.0000
0.8702,0.1382,0.8659,0.0000
0.8593,0.8750,0.9165,1.0000
0.0552,0.9226,0.0929,1.0000
0.1204,0.0713,0.0633,0.0000
0.1019,0.8509,0.9317,0.0000
0.9194,0.8571,0.8589,1.0000
0.0603,0.9381,0.0883,1.0000
0.1142,0.0568,0.1110,0.0000
0.0940,0.1128,0.1420,0.0000
0.9360,0.1397,0.1252,1.0000
0.8852,0.8815,0.0748,0.0000
0.0748,0.9279,0.1348,1.0000
0.8705,0.1248,0.9146,0.0000
0.0995,0.0741,0.1028,0.0000
0.1487,0.8632,0.8865,0.0000
0.1263,0.0517,0.0514,0.0000
0.0540,0.1449,0.9007,1.0000
0.8924,0.8582,0.0777,0.0000
0.8579,0.1474,0.1036,1.0000
0.9086,0.0810,0.9230,0.0000
0.0558,0.1425,0.0953,0.0000
0.0809,0.0619,0.1201,0.0000
0.0996,0.9023,0.8667,0.0000
0.1250,0.9233,0.1271,1.0000
0.0835,0.8772,0.0763,1.0000
0.0996,0.8555,0.0868,1.0000
0.9273,0.0728,0.0544,1.0000
0.0745,0.8864,0.0679,1.0000
0.1053,0.8725,0.0916,1.0000
0.8771,0.1072,0.1002,1.0000
0.0679,0.1454,0.1377,0.0000
0.9274,0.8827,0.8508,1.0000
0.0792,0.9240,0.0964,1.0000
0.9498,0.1232,0.0651,1.0000
0.8524,0.9136,0.1451,0.0000
0.1259,0.9349,0.8604,0.0000
0.0920,0.1473,0.1212,0.0000
0.0544,0.1397,0.9201,1.0000
0.8958,0.1081,0.1137,1.0000
0.8575,0.0935,0.0737,1.0000
0.9351,0.9201,0.8818,1.0000
0.8734,0.0636,0.0655,1.0000
0.0950,0.8907,0.9465,0.0000
0.0952,0.8765,0.0590,1.0000
0.9326,0.0715,0.8648,0.0000
0.1468,0.9013,0.8760,0.0000
0.0531,0.9355,0.0595,1.0000
0.1304,0.0621,0.1330,0.0000
0.0631,0.8872,0.1082,1.0000
0.9417,0.0522,0.0698,1.0000
0.9309,0.1405,0.8623,0.0000
0.8551,0.9322,0.8996,1.0000
0.9183,0.0854,0.0775,1.0000
0.9383,0.1114,0.1147,1.0000
0.8912,0.8561,0.8883,1.0000
0.8699,0.1131,0.1489,1.0000
0.8980,0.8844,0.8888,1.0000
0.0526,0.0529,0.8559,1.0000
0.9029,0.1474,0.0748,1.0000
0.0767,0.1264,0.1076,0.0000
0.8855,0.0676,0.9306,0.0000
0.9414,0.1203,0.9448,0.0000
0.1063,0.1337,0.9042,1.0000
0.0990,0.0556,0.0520,0.0000
0.8501,0.1306,0.9217,0.0000
0.8560,0.1087,0.1274,1.0000
0.9461,0.9205,0.9086,1.0000
0.8802,0.1476,0.9292,0.0000
0.9149,0.1207,0.8723,0.0000
0.0878,0.8627,0.1449,1.0000
0.9351,0.0682,0.9421,0.0000
0.1140,0.1437,0.0831,0.0000
0.0738,0.8668,0.1322,1.0000
0.8947,0.8710,0.0850,0.0000
0.1220,0.0886,0.9469,1.0000
0.8993,0.8851,0.8601,1.0000
0.9289,0.0663,0.1299,1.0000
