eq,vars,test_r2,train_loss,wall_s,expression
I.6.2,2,0.999949,0.00143514,14.2,20.586*tanh(-0.585*tanh(-0.565*x0+0.115*x1-0.498)-0.263*tanh(-0.389*x0+0.279*x1+0.136)-1.220*tanh(-0.169*x0-0.155*x1+1.8
I.6.2b,2,0.999921,2.19587e-05,6.0,3.029*tanh(-0.240*tanh(-0.163*x0+0.493*x1+0.162)-0.718*tanh(-0.344*x0+1.867*x1+0.201)-0.469*tanh(-0.750*x0+0.065*x1+0.09
I.7.9,2,0.999936,1.33584e-05,6.7,1.792*tanh(-0.214*tanh(-0.117*x0+0.361*x1+0.031)-0.580*tanh(-0.245*x0+1.352*x1+0.123)-0.445*tanh(-0.720*x0+0.026*x1-0.02
I.8.4,2,0.999955,0.0112428,16.3,42.129*tanh(0.299*tanh(-0.361*x0+0.691*x1+0.704)+0.367*tanh(0.068*x0+0.269*x1-2.024)+0.094*tanh(-0.485*x0+0.636*x1-0.289
I.9.5,3,1.000000,3.26281e-06,7.1,8.048*(tanh(-0.744*x0-0.723*x1-0.771*x2-0.568)+(0.124*((x0*x1)/(x2*x2))-0.120))+9.011
I.10.7,2,0.998967,0.00294882,7.1,8.082*tanh(-0.130*tanh(0.102*x0+1.923*x1-0.153)+1.043*tanh(-0.067*x0-2.889*x1+2.011)+0.382*tanh(-0.041*x0-3.549*x1+0.591
I.12.5,3,0.999999,4.72899e-06,23.2,12.196*(tanh(-0.574*tanh(0.303*x0-0.020*x1-0.054*x2-0.341)+0.115*tanh(0.007*x0+0.037*x1+0.308*x2-0.042)-1.466*tanh(0.080
I.13.12,2,0.997937,7.92076,8.0,139.064*tanh(0.098*tanh(-0.568*x0+0.629*x1+0.208)+0.428*tanh(-0.447*x0+0.674*x1+1.499)+0.269*tanh(0.699*x0+0.711*x1-4.27
I.14.3,4,0.999375,0.00035605,16.4,4.864*tanh(-0.436*tanh(-0.005*x0-0.066*x1-0.007*x2-0.086*x3+0.519)-0.240*tanh(-0.410*x0+0.189*x1+0.084*x2-0.233*x3-0.451
I.15.3,2,0.998443,0.000238733,8.1,1.134*tanh(-0.002*tanh(-0.005*x0-0.001*x1+0.002)-1.564*tanh(0.027*x0+2.068*x1-2.495)-0.001*tanh(-0.001*x0-0.004*x1+0.002
I.15.10,2,0.999865,3.67348e-06,20.2,1.280*tanh(-0.595*tanh(-0.568*x0-0.570*x1-0.156*(x0*x1)+0.059)-0.188*tanh(-0.104*x0-0.106*x1+0.141*(x0*x1)+0.047)-0.206*
I.18.4,3,0.999505,0.00426274,20.9,11.647*tanh(0.840*tanh(0.419*x0+0.072*x1-0.065*x2-0.175)-0.108*tanh(0.025*x0+0.054*x1+0.561*x2-0.438)+1.357*tanh(0.332*x
I.18.14,3,0.977806,8.78665,13.7,60.406*(tanh(0.280*x0+0.283*x1+0.248*x2-3.285)+(-0.013*((x0*x1)/(x2*x2))+0.316))+45.709
